order_item_key,order_item_id,order_key,product_key,time_key,product_name,product_sku,shop_sku,variation,quantity,item_price,total_item_price,paid_price,item_voucher_discount,shipping_amount,tax_amount,item_status,cancellation_reason,tracking_code,warehouse_code,created_at,updated_at
,1033679806199998,,,20250920,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,360.25,34.75,0.0,0.0,confirmed,,MP1379114863,dropshipping,2025-09-20 21:50:51+08:00,2025-09-28 05:30:44+08:00
,1041749302015029,,,20250921,1 LITER L.A. COLLECTIONS OKADA Hotel Diffuser Scent/ Linen Spray/ Room spray,1857030628-1617524196393-0,1857030628_PH-7870989083,,1,395.0,395.0,395.0,0.0,24.75,0.0,confirmed,,MP1379114941,dropshipping,2025-09-21 05:11:59+08:00,2025-09-24 22:38:56+08:00
,1041749302115029,,,20250921,1 LITER L.A. COLLECTIONS OKADA Hotel Diffuser Scent/ Linen Spray/ Room spray,1857030628-1617524196393-0,1857030628_PH-7870989083,,1,395.0,395.0,395.0,0.0,24.75,0.0,confirmed,,MP1379114941,dropshipping,2025-09-21 05:11:59+08:00,2025-09-24 22:38:56+08:00
,1033818844554542,,,20250921,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,335.83,59.17,0.0,0.0,confirmed,,820133603452,dropshipping,2025-09-21 16:25:48+08:00,2025-09-26 14:49:58+08:00
,1041979528594051,,,20250922,L.A. Collections Lavender Humidifer / Diffuser / Linen Spray,LAV,3464151195_PH-17808092447,,1,395.0,395.0,394.95,0.05,47.25,0.0,confirmed,,MP1379394885,dropshipping,2025-09-22 07:57:19+08:00,2025-09-28 16:40:09+08:00
,1041979528694051,,,20250922,L.A. Collections Lavender Humidifer / Diffuser / Linen Spray,LAV,3464151195_PH-17808092447,,1,395.0,395.0,394.95,0.05,47.25,0.0,confirmed,,MP1379394885,dropshipping,2025-09-22 07:57:19+08:00,2025-09-28 16:40:09+08:00
,1041991979516944,,,20250922,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-0,3730272243_PH-19667622955,Variation3:Shangrila,1,180.0,180.0,171.0,9.0,0.0,0.0,canceled,Want to place a new order with more/different items,,dropshipping,2025-09-22 09:46:02+08:00,2025-09-24 02:24:42+08:00
,1041991979616944,,,20250922,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-7,3730272243_PH-19667622962,Variation3:Marine Squash,1,180.0,180.0,171.0,9.0,0.0,0.0,canceled,Want to place a new order with more/different items,,dropshipping,2025-09-22 09:46:02+08:00,2025-09-24 06:50:03+08:00
,1041991979716944,,,20250922,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-1,3730272243_PH-19667622956,Variation3:Fresh Bamboo,1,180.0,180.0,171.0,9.0,0.0,0.0,canceled,Want to place a new order with more/different items,,dropshipping,2025-09-22 09:46:02+08:00,2025-09-24 03:22:18+08:00
,1042000915116944,,,20250922,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-7,3730272243_PH-19667622962,Variation3:Marine Squash,1,180.0,180.0,159.33,20.67,0.0,0.0,confirmed,,MP1379394569,dropshipping,2025-09-22 09:49:24+08:00,2025-09-25 07:45:00+08:00
,1042000915216944,,,20250922,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-1,3730272243_PH-19667622956,Variation3:Fresh Bamboo,1,180.0,180.0,159.33,20.67,0.0,0.0,confirmed,,MP1379394569,dropshipping,2025-09-22 09:49:24+08:00,2025-09-25 07:45:00+08:00
,1042000915316944,,,20250922,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-0,3730272243_PH-19667622955,Variation3:Shangrila,1,180.0,180.0,159.34,20.66,0.0,0.0,confirmed,,MP1379394569,dropshipping,2025-09-22 09:49:24+08:00,2025-09-25 07:45:00+08:00
,1033974809772551,,,20250922,LED 500mL Ultrasonic Diffuser for Essential Oils/ Waterbased Scent with Remote,5175120341-1752677181110-0,5175120341_PH-30683243468,,1,649.0,649.0,638.76,10.24,0.0,0.0,confirmed,,820133665278,dropshipping,2025-09-22 10:29:05+08:00,2025-10-03 11:29:39+08:00
,1033974809872551,,,20250922,(COD)  1 Liter Peppermint Waterbased Humidifier Scent,P,3884388412_PH-20793032962,,1,350.0,350.0,344.48,5.52,0.0,0.0,confirmed,,820133665278,dropshipping,2025-09-22 10:29:05+08:00,2025-10-03 11:29:39+08:00
,1033974809972551,,,20250922,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,388.76,6.24,0.0,0.0,confirmed,,820133665278,dropshipping,2025-09-22 10:29:05+08:00,2025-10-03 11:29:39+08:00
,1042018704711343,,,20250922,(COD)  1 Liter Peppermint Waterbased Humidifier Scent,P,3884388412_PH-20793032962,,1,350.0,350.0,350.0,0.0,0.0,0.0,confirmed,,MP1379394689,dropshipping,2025-09-22 10:57:09+08:00,2025-09-27 14:06:25+08:00
,1034001657618013,,,20250922,1 Liter L.A. Collections Fresh Bamboo Waterbased Scent for  Humidifiers/Diffusers/Linen Spray,3368572353-1738239695642-0,3368572353_PH-28661617725,,1,380.0,380.0,281.2,98.8,0.0,0.0,confirmed,,MP1379394738,dropshipping,2025-09-22 12:45:17+08:00,2025-09-24 13:06:48+08:00
,1034051433051359,,,20250922,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,170.0,0.0,confirmed,,820133709049,dropshipping,2025-09-22 16:03:18+08:00,2025-10-05 13:11:07+08:00
,1042087124269816,,,20250922,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,345.25,49.75,0.0,0.0,confirmed,,MP1379576174,dropshipping,2025-09-22 16:22:20+08:00,2025-09-28 15:55:25+08:00
,1034055892860491,,,20250922,1 LITER L.A. COLLECTIONS OKADA Hotel Diffuser Scent/ Linen Spray/ Room spray,1857030628-1617524196393-0,1857030628_PH-7870989083,,1,395.0,395.0,390.3,4.7,0.0,0.0,confirmed,,MP1379576586,dropshipping,2025-09-22 17:32:38+08:00,2025-09-27 12:39:51+08:00
,1042121121508017,,,20250922,1 Liter L.A. Collections Fresh Bamboo Waterbased Scent for  Humidifiers/Diffusers/Linen Spray,3368572353-1738239695642-0,3368572353_PH-28661617725,,1,380.0,380.0,338.5,41.5,0.0,0.0,confirmed,,MP1379576529,dropshipping,2025-09-22 18:57:52+08:00,2025-09-27 15:16:49+08:00
,1042121121608017,,,20250922,1 Liter L.A. Collections Fresh Bamboo Waterbased Scent for  Humidifiers/Diffusers/Linen Spray,3368572353-1738239695642-0,3368572353_PH-28661617725,,1,380.0,380.0,338.5,41.5,0.0,0.0,confirmed,,MP1379576529,dropshipping,2025-09-22 18:57:52+08:00,2025-09-27 15:16:49+08:00
,1034112039246168,,,20250922,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,349.68,45.32,28.58,0.0,confirmed,,MP1379576201,dropshipping,2025-09-22 21:16:38+08:00,2025-09-27 10:39:35+08:00
,1034112039346168,,,20250922,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-0,3730272243_PH-19667622955,Variation3:Shangrila,1,180.0,180.0,169.49,10.51,11.92,0.0,confirmed,,MP1379576201,dropshipping,2025-09-22 21:16:38+08:00,2025-09-27 10:39:35+08:00
,1042168546641840,,,20250922,1 Liter L.A. Collections Fresh Bamboo Waterbased Scent for  Humidifiers/Diffusers/Linen Spray,3368572353-1738239695642-0,3368572353_PH-28661617725,,1,380.0,380.0,361.0,19.0,0.0,0.0,confirmed,,MP1379576530,dropshipping,2025-09-22 23:35:41+08:00,2025-09-27 16:00:29+08:00
